ranked_position,selected_rank,disposition,representative_system_id,regime_idx,param_idx,mn_idx,geometry_idx,d_pos,d_neg,steepness_pos,steepness_neg,M,N,roc_auc,pr_auc
1068,,after_candidate_limit,,1937,77,12,77,13.89,8.33,0.5,0.75,3,3,0.9393540669856459,0.49396838924170267
1069,,after_candidate_limit,,1635,65,10,65,13.89,4.17,0.5,2,3,1,0.9393224880382776,0.4901191098201941
1070,,after_candidate_limit,,1962,78,12,78,13.89,8.33,0.5,1.38,3,3,0.9392899521531101,0.4923851835735951
1071,,after_candidate_limit,,1414,56,14,56,13.89,12.5,0.5,0.75,3,15,0.9392755980861244,0.48546098921095443
1072,,after_candidate_limit,,1987,79,12,79,13.89,8.33,0.5,2,3,3,0.9392736842105263,0.49120774677950246
1073,,after_candidate_limit,,2535,101,10,101,15,6.75,1.33,2,3,1,0.9392645933014354,0.5171301845858827
1074,,after_candidate_limit,,2560,102,10,102,15,6.75,1.33,3.67,3,1,0.9392263157894737,0.5167601432479508
1075,,after_candidate_limit,,1732,69,7,69,13.89,4.17,3,4.5,2,3,0.9392215311004785,0.4827720135247493
1076,,after_candidate_limit,,2787,111,12,111,15,9,3,4.5,3,3,0.9391722488038278,0.4956846358774335
1077,,after_candidate_limit,,1761,70,11,70,13.89,6.25,0.5,0.75,3,2,0.939155023923445,0.49308700355999885
1078,,after_candidate_limit,,1439,57,14,57,13.89,12.5,0.5,1.38,3,15,0.9391531100478469,0.4859870418034529
1079,,after_candidate_limit,,2083,83,8,83,13.89,8.33,3,4.5,2,8,0.9391124401913875,0.47977211669773556
1080,,after_candidate_limit,,30,1,5,1,11.67,10.5,0.5,1.38,2,1,0.939088038277512,0.4830690171401169
1081,,after_candidate_limit,,1464,58,14,58,13.89,12.5,0.5,2,3,15,0.9390306220095693,0.4853248984221442
1082,,after_candidate_limit,,1786,71,11,71,13.89,6.25,0.5,1.38,3,2,0.9389521531100479,0.48821985433749454
1083,,after_candidate_limit,,1908,76,8,76,13.89,6.25,3,4.5,2,8,0.9389468899521531,0.4743178200123448
1084,,after_candidate_limit,,1733,69,8,69,13.89,4.17,3,4.5,2,8,0.9389411483253588,0.47426869623143053
1085,,after_candidate_limit,,1734,69,9,69,13.89,4.17,3,4.5,2,15,0.9389411483253588,0.47426869623143053
1086,,after_candidate_limit,,1909,76,9,76,13.89,6.25,3,4.5,2,15,0.9389411483253588,0.47426869623143053
1087,,after_candidate_limit,,2084,83,9,83,13.89,8.33,3,4.5,2,15,0.9389411483253588,0.47426869623143053
