endpoint_id,score_focal_hla__pr__regime_1225,score_focal_hla__pr__regime_1400,score_focal_hla__pr__regime_1451,score_focal_hla__pr__regime_1452,score_focal_hla__pr__regime_1775,score_focal_hla__pr__regime_1925,score_focal_hla__pr__regime_1926,score_focal_hla__pr__regime_2100,score_focal_hla__pr__regime_2101,score_focal_hla__pr__regime_2127,score_focal_hla__pr__regime_2153,score_focal_hla__pr__regime_2154,score_focal_hla__pr__regime_2275,score_focal_hla__pr__regime_2450,score_focal_hla__pr__regime_2451,score_focal_hla__pr__regime_2502,score_focal_hla__pr__regime_2625,score_focal_hla__pr__regime_2627,score_focal_hla__pr__regime_2676,score_focal_hla__pr__regime_725
nci_obs_000020,-0.7945280075073242,-2.041440486907959,-1.3002138137817383,-0.9666423797607422,-0.7856579422950745,-0.7923704385757446,-0.7857578992843628,-2.2649264335632324,-2.261319398880005,-1.8146454095840454,-0.7957003712654114,-0.7854378819465637,-0.7854579091072083,-0.7861681580543518,-0.7854378819465637,-0.7854378819465637,-0.8022280931472778,-0.785447895526886,-0.7854378819465637,-1.1375113725662231
nci_obs_000021,-0.3257335424423218,-0.9746075868606567,-0.4235910177230835,-0.33199796080589294,-0.3233506679534912,-0.3293687403202057,-0.32337069511413574,-1.8808605670928955,-0.7210112810134888,-0.38281410932540894,-0.3233506679534912,-0.3233506679534912,-0.3233606815338135,-0.323950856924057,-0.3233506679534912,-0.3233506679534912,-0.3379771113395691,-0.3233506679534912,-0.3233506679534912,-0.46253231167793274
nci_obs_000022,-1.5688420534133911,-1.2227973937988281,-1.1801984310150146,-1.1759387254714966,-1.1757687330245972,-1.1757887601852417,-1.1757687330245972,-1.104244351387024,-0.9798658490180969,-0.9549263715744019,-0.953665554523468,-0.953665554523468,-0.953665554523468,-0.953665554523468,-0.953665554523468,-0.953665554523468,-0.9537555575370789,-0.953665554523468,-0.953665554523468,-1.579923152923584
nci_obs_000023,-1.1677902936935425,-1.4370734691619873,-1.1497074365615845,-1.1008529663085938,-1.0960513353347778,-1.116510033607483,-1.096081256866455,-1.449710488319397,-1.222826361656189,-1.1244251728057861,-1.0694423913955688,-1.0694423913955688,-1.0694524049758911,-1.0712339878082275,-1.0694423913955688,-1.0694423913955688,-1.109514594078064,-1.0694423913955688,-1.0694923400878906,-1.3356432914733887
nci_obs_000024,-2.043550729751587,-1.7590669393539429,-1.6863429546356201,-1.6752521991729736,-1.674401879310608,-1.6744318008422852,-1.674401879310608,-1.6821942329406738,-1.4940177202224731,-1.4528483152389526,-1.4437974691390991,-1.4437974691390991,-1.4437974691390991,-1.4437974691390991,-1.4437974691390991,-1.4437974691390991,-1.4439475536346436,-1.4437974691390991,-1.4437974691390991,-2.0585832595825195
nci_obs_000025,-1.233206868171692,-1.4870795011520386,-1.2336713075637817,-1.140214204788208,-1.1239242553710938,-1.2396323680877686,-1.1071937084197998,-1.518242597579956,-1.26844322681427,-1.1722209453582764,-1.0953398942947388,-1.0953198671340942,-1.0963103771209717,-1.1318998336791992,-1.095900058746338,-1.0953198671340942,-1.2213351726531982,-1.0956498384475708,-1.116318941116333,-1.4751478433609009
nci_obs_000026,-0.4567639231681824,-1.7655876874923706,-0.7034114599227905,-0.520698070526123,-0.4527396857738495,-0.4592609703540802,-0.45279964804649353,-1.8839002847671509,-1.8801127672195435,-1.4872972965240479,-0.4601370394229889,-0.4527296721935272,-0.4527296721935272,-0.45321980118751526,-0.4527296721935272,-0.4527296721935272,-0.46857455372810364,-0.4527396857738495,-0.45275965332984924,-0.6016267538070679
nci_obs_000027,-0.7239594459533691,-2.3488616943359375,-1.6017732620239258,-1.0393366813659668,-0.7203128337860107,-0.7242604494094849,-0.7204127907752991,-2.059495210647583,-2.0549240112304688,-2.054774045944214,-0.7593135833740234,-0.7203128337860107,-0.7203128337860107,-0.7204728126525879,-0.7203128337860107,-0.7203128337860107,-0.733195424079895,-0.720322847366333,-0.720352828502655,-1.1236913204193115
nci_obs_000028,-3.0491151809692383,-2.4316375255584717,-2.4305970668792725,-2.43058705329895,-2.43058705329895,-2.4305970668792725,-2.43058705329895,-1.8527607917785645,-1.8490033149719238,-1.8489032983779907,-1.8489032983779907,-1.8489032983779907,-1.8489032983779907,-1.8489032983779907,-1.8489032983779907,-1.8489032983779907,-1.8489233255386353,-1.8489032983779907,-1.8489032983779907,-3.0493052005767822
nci_obs_000029,-0.5962537527084351,-2.6014389991760254,-2.1466073989868164,-1.4170823097229004,-0.5802305340766907,-0.6041924357414246,-0.5811516642570496,-2.2042150497436523,-2.1990103721618652,-2.198840379714966,-0.7359577417373657,-0.5792101621627808,-0.5793302059173584,-0.5816833972930908,-0.5791801810264587,-0.5791401863098145,-0.6435293555259705,-0.5797003507614136,-0.582114577293396,-1.6850131750106812
