endpoint_id,score_full_hla__pr__regime_1225,score_full_hla__pr__regime_1400,score_full_hla__pr__regime_1451,score_full_hla__pr__regime_1775,score_full_hla__pr__regime_1926,score_full_hla__pr__regime_1950,score_full_hla__pr__regime_2100,score_full_hla__pr__regime_2126,score_full_hla__pr__regime_2153,score_full_hla__pr__regime_2154,score_full_hla__pr__regime_2275,score_full_hla__pr__regime_2450,score_full_hla__pr__regime_2451,score_full_hla__pr__regime_2505,score_full_hla__pr__regime_2625,score_full_hla__pr__regime_2676,score_full_hla__pr__regime_2677,score_full_hla__pr__regime_2680,score_full_hla__pr__regime_2681,score_full_hla__pr__regime_725
nci_obs_000020,-0.7972463369369507,-2.115473985671997,-1.3418742418289185,-0.7861180305480957,-0.7857578992843628,-0.7875397801399231,-2.230311155319214,-2.226362943649292,-0.8019535541534424,-0.7854378819465637,-0.7855378985404968,-0.7866686582565308,-0.7854378819465637,-0.7863582968711853,-0.8041722774505615,-0.785447895526886,-0.7854378819465637,-0.7878808379173279,-0.785447895526886,-1.1548207998275757
nci_obs_000021,-0.3275695741176605,-0.9789130687713623,-0.4258264899253845,-0.3253026008605957,-0.3233906924724579,-0.32589390873908997,-1.8886281251907349,-0.7040402293205261,-0.3233506679534912,-0.3233506679534912,-0.3238607943058014,-0.3255130350589752,-0.3233506679534912,-0.32901668548583984,-0.3400798439979553,-0.3233506679534912,-0.3233506679534912,-0.3306673765182495,-0.32337069511413574,-0.46530604362487793
nci_obs_000022,-1.3573973178863525,-1.1037912368774414,-1.0396355390548706,-1.0318654775619507,-1.0318654775619507,-1.0318654775619507,-1.07839035987854,-0.9246447682380676,-0.8944226503372192,-0.8944226503372192,-0.8944226503372192,-0.8944226503372192,-0.8944226503372192,-0.9968876838684082,-0.8946026563644409,-0.8944226503372192,-0.8944226503372192,-0.9968876838684082,-0.9968876838684082,-1.3741469383239746
nci_obs_000023,-1.098043441772461,-1.372976303100586,-1.1345058679580688,-1.0648915767669678,-1.0650215148925781,-1.0962409973144531,-1.3799289464950562,-1.2153550386428833,-1.062978982925415,-1.0626189708709717,-1.062628984451294,-1.0642597675323486,-1.0626189708709717,-1.063149094581604,-1.0826377868652344,-1.0630290508270264,-1.0626189708709717,-1.1254806518554688,-1.0634891986846924,-1.2775511741638184
nci_obs_000024,-1.445322036743164,-1.628241777420044,-1.460726022720337,-1.3202605247497559,-1.3202705383300781,-1.3205006122589111,-1.6382559537887573,-1.4494588375091553,-1.2826591730117798,-1.2825591564178467,-1.2825591564178467,-1.2825992107391357,-1.2825591564178467,-1.3061236143112183,-1.2869689464569092,-1.2825591564178467,-1.2825591564178467,-1.307084083557129,-1.3061236143112183,-1.6032108068466187
nci_obs_000025,-1.1675598621368408,-1.4298896789550781,-1.237992763519287,-1.1063575744628906,-1.1003782749176025,-1.17733895778656,-1.6391667127609253,-1.2853457927703857,-1.0955299139022827,-1.0947597026824951,-1.0951697826385498,-1.1068063974380493,-1.0950297117233276,-1.121922492980957,-1.1354120969772339,-1.1002322435379028,-1.0950297117233276,-1.1988251209259033,-1.1043628454208374,-1.4224437475204468
nci_obs_000026,-0.45681411027908325,-1.7841949462890625,-0.7114356160163879,-0.45275965332984924,-0.4528096616268158,-0.4568481147289276,-1.8754324913024902,-1.8715646266937256,-0.4614979922771454,-0.4527296721935272,-0.4527296721935272,-0.45324981212615967,-0.4527296721935272,-0.4528396427631378,-0.4689505100250244,-0.4527796804904938,-0.4527296721935272,-0.465804785490036,-0.4527796804904938,-0.6039797067642212
nci_obs_000027,-0.7244905829429626,-2.1231191158294678,-2.1198434829711914,-0.7203128337860107,-0.7208729386329651,-0.7283450365066528,-1.6543498039245605,-1.6432020664215088,-1.3290269374847412,-0.7232170701026917,-0.7203128337860107,-0.7209129929542542,-0.720322847366333,-0.720322847366333,-0.7567382454872131,-0.7220543026924133,-0.7203728556632996,-0.751380443572998,-0.7220543026924133,-1.4750961065292358
nci_obs_000028,-1.913000464439392,-1.3660022020339966,-1.357313871383667,-1.3572338819503784,-1.3572338819503784,-1.3573038578033447,-1.011139988899231,-0.9742403030395508,-0.9729394912719727,-0.9729394912719727,-0.9729394912719727,-0.9729495048522949,-0.9729394912719727,-1.474744439125061,-0.97307950258255,-0.9729394912719727,-0.9729394912719727,-1.4749244451522827,-1.474744439125061,-1.913970947265625
nci_obs_000029,-0.5960924625396729,-2.5949015617370605,-2.149419069290161,-0.5802105069160461,-0.5811415910720825,-0.5900862216949463,-2.195143461227417,-2.189948797225952,-0.7373976111412048,-0.5792101621627808,-0.5793302059173584,-0.5816934704780579,-0.5791801810264587,-0.5800405740737915,-0.6436253786087036,-0.582124650478363,-0.5792902112007141,-0.6180349588394165,-0.5821746587753296,-1.686011791229248
