endpoint_id,score_mono_q_full_pn__roc__regime_1750,score_mono_q_full_pn__roc__regime_1925,score_mono_q_full_pn__roc__regime_1976,score_mono_q_full_pn__roc__regime_2104,score_mono_q_full_pn__roc__regime_2128,score_mono_q_full_pn__roc__regime_2275,score_mono_q_full_pn__roc__regime_2277,score_mono_q_full_pn__roc__regime_2278,score_mono_q_full_pn__roc__regime_2279,score_mono_q_full_pn__roc__regime_2326,score_mono_q_full_pn__roc__regime_2450,score_mono_q_full_pn__roc__regime_2452,score_mono_q_full_pn__roc__regime_2453,score_mono_q_full_pn__roc__regime_2454,score_mono_q_full_pn__roc__regime_2476,score_mono_q_full_pn__roc__regime_2625,score_mono_q_full_pn__roc__regime_2629,score_mono_q_full_pn__roc__regime_2653,score_mono_q_full_pn__roc__regime_2676,score_mono_q_full_pn__roc__regime_2677
nci_obs_000040,-0.14551521837711334,-0.1496238112449646,-0.1454652100801468,-0.1454652100801468,-0.1454652100801468,-0.1454652100801468,-0.1454652100801468,-0.1454652100801468,-0.1454652100801468,-0.1454652100801468,-0.14562520384788513,-0.1454652100801468,-0.1454652100801468,-0.1454652100801468,-0.1454652100801468,-0.1525690108537674,-0.1454652100801468,-0.1454652100801468,-0.1454652100801468,-0.1454652100801468
nci_obs_000041,-1.9250260591506958,-1.9250260591506958,-1.9250260591506958,-1.337201714515686,-1.337201714515686,-1.337201714515686,-1.337201714515686,-1.337201714515686,-1.337201714515686,-1.337201714515686,-1.337201714515686,-1.337201714515686,-1.337201714515686,-1.337201714515686,-1.337201714515686,-1.337201714515686,-1.337201714515686,-1.337201714515686,-1.337201714515686,-1.337201714515686
nci_obs_000042,-0.32681742310523987,-0.3268873989582062,-0.32681742310523987,-0.22717034816741943,-0.22717034816741943,-0.22717034816741943,-0.22717034816741943,-0.22717034816741943,-0.22717034816741943,-0.22717034816741943,-0.22717034816741943,-0.22717034816741943,-0.22717034816741943,-0.22717034816741943,-0.22717034816741943,-0.2273903787136078,-0.22717034816741943,-0.22717034816741943,-0.22717034816741943,-0.22717034816741943
nci_obs_000043,-0.43955424427986145,-0.4411254823207855,-0.4395442306995392,-0.4395442306995392,-0.4395442306995392,-0.4395442306995392,-0.4395442306995392,-0.4395442306995392,-0.4395442306995392,-0.4395442306995392,-0.43958422541618347,-0.4395442306995392,-0.4395442306995392,-0.4395442306995392,-0.4395442306995392,-0.4454818069934845,-0.4395442306995392,-0.4395442306995392,-0.4395442306995392,-0.4395442306995392
nci_obs_000044,-0.18166182935237885,-0.20045864582061768,-0.18046051263809204,-0.179970383644104,-0.2143869549036026,-0.18026046454906464,-0.17994040250778198,-0.17994040250778198,-0.17994040250778198,-0.17994040250778198,-0.18292483687400818,-0.17994040250778198,-0.17994040250778198,-0.17994040250778198,-0.17998039722442627,-0.22603672742843628,-0.17994040250778198,-0.17994040250778198,-0.1822330355644226,-0.1800404191017151
nci_obs_000045,-0.6045640707015991,-0.6045940518379211,-0.6045640707015991,-0.354667991399765,-0.354667991399765,-0.354667991399765,-0.354667991399765,-0.354667991399765,-0.354667991399765,-0.354667991399765,-0.354667991399765,-0.354667991399765,-0.354667991399765,-0.354667991399765,-0.354667991399765,-0.3547879755496979,-0.354667991399765,-0.354667991399765,-0.354667991399765,-0.354667991399765
nci_obs_000046,-0.4191044867038727,-0.4981182813644409,-0.4436216950416565,-0.4066007435321808,-0.40746092796325684,-0.40695080161094666,-0.4066007435321808,-0.4066007435321808,-0.4066007435321808,-0.4066007435321808,-0.4203273355960846,-0.40667077898979187,-0.4066007435321808,-0.4066007435321808,-0.4073809087276459,-0.49016135931015015,-0.4066007435321808,-0.4066007435321808,-0.43889540433883667,-0.41171732544898987
nci_obs_000047,-1.2289350032806396,-1.228945016860962,-1.2289350032806396,-0.8613160848617554,-0.8613160848617554,-0.8613160848617554,-0.8613160848617554,-0.8613160848617554,-0.8613160848617554,-0.8613160848617554,-0.8613160848617554,-0.8613160848617554,-0.8613160848617554,-0.8613160848617554,-0.8613160848617554,-0.8613660931587219,-0.8613160848617554,-0.8613160848617554,-0.8613160848617554,-0.8613160848617554
nci_obs_000048,-0.41554662585258484,-0.4158884584903717,-0.4103027284145355,-0.24872185289859772,-0.24872185289859772,-0.25353342294692993,-0.24872185289859772,-0.24872185289859772,-0.24872185289859772,-0.24874188005924225,-0.25406613945961,-0.24872185289859772,-0.24872185289859772,-0.24872185289859772,-0.24875183403491974,-0.2546795904636383,-0.24872185289859772,-0.24872185289859772,-0.24875183403491974,-0.24872185289859772
nci_obs_000049,-0.3467743694782257,-0.3471244275569916,-0.34676435589790344,-0.33515363931655884,-0.33546367287635803,-0.33515363931655884,-0.33515363931655884,-0.33515363931655884,-0.33515363931655884,-0.33515363931655884,-0.33517366647720337,-0.33515363931655884,-0.33515363931655884,-0.33515363931655884,-0.33515363931655884,-0.3366647958755493,-0.33515363931655884,-0.33515363931655884,-0.33515363931655884,-0.33515363931655884
