grid_index,c,kappa
584,-11.75,0.0006035407603615637
585,-11.75,0.000663432017659834
586,-11.75,0.0007292664737217114
587,-11.75,0.0008016338909455349
588,-11.75,0.0008811825557165285
589,-11.75,0.0009686250859269985
590,-11.75,0.0010647448147951186
591,-11.75,0.001170402808170232
592,-11.75,0.0012865455781875354
593,-11.75,0.0014142135623730968
594,-11.75,0.0015545504441572683
595,-11.75,0.0017088133982921087
596,-11.75,0.0018783843529539507
597,-11.75,0.0020647823694200057
598,-11.75,0.0022696772502194106
599,-11.75,0.002494904497664117
600,-11.75,0.0027424817567620755
601,-11.75,0.003014626889812659
602,-11.75,0.0033137778446013506
603,-11.75,0.0036426144941781413
604,-11.75,0.0040040826438662224
605,-11.75,0.00440142042056198
606,-11.75,0.004838187280728665
607,-11.75,0.005318295896944991
608,-11.75,0.005846047208656651
609,-11.75,0.006426168951124776
610,-11.75,0.007063858007723712
611,-11.75,0.007764826964991121
612,-11.75,0.008535355287482936
613,-11.75,0.009382345570870835
614,-11.75,0.01031338537721247
615,-11.75,0.011336815206330902
616,-11.75,0.012461803212208992
617,-11.75,0.013698427333727649
618,-11.75,0.015057765575496863
619,-11.75,0.016551995247538986
620,-11.75,0.018194502052839467
621,-11.75,0.02000000000000001
622,-11.75,0.021984663215203284
623,-11.75,0.02416627083429558
624,-11.75,0.026564366272968886
625,-11.75,0.029200432301826246
626,-11.75,0.032098083494699614
627,-11.75,0.03528327777422226
628,-11.75,0.038784548949737194
629,-11.75,0.04263326233067686
630,-11.75,0.0468638957052671
631,-11.75,0.051514348201635404
632,-11.75,0.05662627979818328
633,-11.75,0.0622454845246464
634,-11.75,0.06842230069707485
635,-11.75,0.07521206186172792
636,-11.75,0.08267559248755606
637,-11.75,0.0908797528478154
638,-11.75,0.09989803797200668
639,-11.75,0.10981123603370764
640,-11.75,0.1207081520723127
641,-11.75,0.13268640353196676
642,-11.75,0.14585329474434222
643,-11.75,0.1603267781891069
644,-11.75,0.17623651114330563
645,-11.75,0.1937250171853996
646,-11.75,0.21294896295902363
647,-11.75,0.2340805616340463
648,-11.75,0.257309115637507
649,-11.75,0.28284271247461923
650,-11.75,0.31091008883145355
651,-11.75,0.3417626796584219
652,-11.75,0.37567687059079036
653,-11.75,0.41295647388400064
654,-11.75,0.45393545004388197
655,-11.75,0.49898089953282365
656,-11.75,0.5484963513524144
657,-11.75,0.6029253779625317
658,-11.75,0.6627555689202699
659,-11.75,0.7285228988356287
660,-11.75,0.8008165287732435
661,-11.75,0.8802840841123949
662,-11.75,0.9676374561457335
663,-11.75,1.0636591793889987
664,-11.75,1.1692094417313288
665,-11.75,1.2852337902249547
666,-11.75,1.4127716015447394
667,-11.75,1.5529653929982221
668,-11.75,1.7070710574965884
669,-11.75,1.8764691141741663
670,-11.75,2.062677075442493
671,-11.75,2.2673630412661816
672,-11.75,2.4923606424417977
673,-11.75,2.739685466745529
674,-11.75,3.0115531150993715
675,-11.75,3.310399049507793
676,-11.75,3.638900410567892
677,-11.75,4.000000000000001
678,-11.7,0.00010000000000000009
679,-11.7,0.00010992331607601645
680,-11.7,0.00012083135417147784
681,-11.7,0.00013282183136484435
682,-11.7,0.0001460021615091313
683,-11.7,0.00016049041747349827
684,-11.7,0.00017641638887111135
685,-11.7,0.0001939227447486859
686,-11.7,0.00021316631165338437
687,-11.7,0.00023431947852633578
688,-11.7,0.00025757174100817686
689,-11.7,0.00028313139899091653
690,-11.7,0.0003112274226232321
691,-11.7,0.00034211150348537436
692,-11.7,0.00037606030930863974
693,-11.7,0.00041337796243778044
694,-11.7,0.0004543987642390775
695,-11.7,0.0004994901898600331
696,-11.7,0.0005490561801685379
697,-11.7,0.0006035407603615637
698,-11.7,0.000663432017659834
699,-11.7,0.0007292664737217114
700,-11.7,0.0008016338909455349
701,-11.7,0.0008811825557165285
702,-11.7,0.0009686250859269985
703,-11.7,0.0010647448147951186
704,-11.7,0.001170402808170232
705,-11.7,0.0012865455781875354
706,-11.7,0.0014142135623730968
707,-11.7,0.0015545504441572683
708,-11.7,0.0017088133982921087
709,-11.7,0.0018783843529539507
710,-11.7,0.0020647823694200057
711,-11.7,0.0022696772502194106
712,-11.7,0.002494904497664117
713,-11.7,0.0027424817567620755
714,-11.7,0.003014626889812659
715,-11.7,0.0033137778446013506
716,-11.7,0.0036426144941781413
717,-11.7,0.0040040826438662224
718,-11.7,0.00440142042056198
719,-11.7,0.004838187280728665
720,-11.7,0.005318295896944991
721,-11.7,0.005846047208656651
722,-11.7,0.006426168951124776
723,-11.7,0.007063858007723712
724,-11.7,0.007764826964991121
725,-11.7,0.008535355287482936
726,-11.7,0.009382345570870835
727,-11.7,0.01031338537721247
728,-11.7,0.011336815206330902
729,-11.7,0.012461803212208992
730,-11.7,0.013698427333727649
731,-11.7,0.015057765575496863
732,-11.7,0.016551995247538986
733,-11.7,0.018194502052839467
734,-11.7,0.02000000000000001
735,-11.7,0.021984663215203284
736,-11.7,0.02416627083429558
737,-11.7,0.026564366272968886
738,-11.7,0.029200432301826246
739,-11.7,0.032098083494699614
740,-11.7,0.03528327777422226
741,-11.7,0.038784548949737194
742,-11.7,0.04263326233067686
743,-11.7,0.0468638957052671
744,-11.7,0.051514348201635404
745,-11.7,0.05662627979818328
746,-11.7,0.0622454845246464
747,-11.7,0.06842230069707485
748,-11.7,0.07521206186172792
749,-11.7,0.08267559248755606
750,-11.7,0.0908797528478154
751,-11.7,0.09989803797200668
752,-11.7,0.10981123603370764
753,-11.7,0.1207081520723127
754,-11.7,0.13268640353196676
755,-11.7,0.14585329474434222
756,-11.7,0.1603267781891069
757,-11.7,0.17623651114330563
758,-11.7,0.1937250171853996
759,-11.7,0.21294896295902363
760,-11.7,0.2340805616340463
761,-11.7,0.257309115637507
762,-11.7,0.28284271247461923
763,-11.7,0.31091008883145355
764,-11.7,0.3417626796584219
765,-11.7,0.37567687059079036
766,-11.7,0.41295647388400064
767,-11.7,0.45393545004388197
768,-11.7,0.49898089953282365
769,-11.7,0.5484963513524144
770,-11.7,0.6029253779625317
771,-11.7,0.6627555689202699
