endpoint_id,score_full_q_mono_pn__roc__regime_1750,score_full_q_mono_pn__roc__regime_1925,score_full_q_mono_pn__roc__regime_1926,score_full_q_mono_pn__roc__regime_2128,score_full_q_mono_pn__roc__regime_2152,score_full_q_mono_pn__roc__regime_2154,score_full_q_mono_pn__roc__regime_2275,score_full_q_mono_pn__roc__regime_2278,score_full_q_mono_pn__roc__regime_2279,score_full_q_mono_pn__roc__regime_2326,score_full_q_mono_pn__roc__regime_2327,score_full_q_mono_pn__roc__regime_2451,score_full_q_mono_pn__roc__regime_2452,score_full_q_mono_pn__roc__regime_2500,score_full_q_mono_pn__roc__regime_2503,score_full_q_mono_pn__roc__regime_2625,score_full_q_mono_pn__roc__regime_2626,score_full_q_mono_pn__roc__regime_2627,score_full_q_mono_pn__roc__regime_2628,score_full_q_mono_pn__roc__regime_2629
nci_obs_000044,-0.6622762084007263,-0.6948933005332947,-0.6600689888000488,-0.6582165956497192,-0.7015067934989929,-0.6578765511512756,-0.6583066582679749,-0.6578765511512756,-0.6578765511512756,-0.6578765511512756,-0.6578765511512756,-0.6580765843391418,-0.6578765511512756,-0.6622920632362366,-0.6578765511512756,-0.6783890128135681,-0.6601279377937317,-0.6581066250801086,-0.6578765511512756,-0.6578765511512756
nci_obs_000045,-1.0881085395812988,-1.0887887477874756,-1.0880985260009766,-1.07977294921875,-1.112402319908142,-1.079732894897461,-1.079732894897461,-1.079732894897461,-1.079732894897461,-1.079732894897461,-1.079732894897461,-1.079732894897461,-1.079732894897461,-1.079732894897461,-1.079732894897461,-1.0821245908737183,-1.0797629356384277,-1.079732894897461,-1.079732894897461,-1.079732894897461
nci_obs_000046,-1.1193923950195313,-1.2960906028747559,-1.1298915147781372,-1.1082212924957275,-1.7885605096817017,-1.1074209213256836,-1.1076910495758057,-1.1074209213256836,-1.1074209213256836,-1.1074209213256836,-1.1074209213256836,-1.1085916757583618,-1.1074409484863281,-1.124668836593628,-1.1074209213256836,-1.4292114973068237,-1.1599044799804688,-1.1124134063720703,-1.1074209213256836,-1.1074209213256836
nci_obs_000047,-1.7986246347427368,-1.7986546754837036,-1.7986246347427368,-1.6332193613052368,-1.638422966003418,-1.6332193613052368,-1.6332193613052368,-1.6332193613052368,-1.6332193613052368,-1.6332193613052368,-1.6332193613052368,-1.6332193613052368,-1.6332193613052368,-1.6332193613052368,-1.6332193613052368,-1.6333494186401367,-1.6332193613052368,-1.6332193613052368,-1.6332193613052368,-1.6332193613052368
nci_obs_000048,-0.9547775983810425,-0.9549476504325867,-0.9547675848007202,-0.7231630086898804,-0.7244337797164917,-0.7231630086898804,-0.7231730222702026,-0.7231630086898804,-0.7231630086898804,-0.7231630086898804,-0.7231630086898804,-0.7231630086898804,-0.7231630086898804,-0.7231730222702026,-0.7231630086898804,-0.7236330509185791,-0.7231630086898804,-0.7231630086898804,-0.7231630086898804,-0.7231630086898804
nci_obs_000049,-1.3440014123916626,-1.3443615436553955,-1.3440014123916626,-1.3444615602493286,-1.4485129117965698,-1.3440014123916626,-1.3440014123916626,-1.3440014123916626,-1.3440014123916626,-1.3440014123916626,-1.3440014123916626,-1.3440014123916626,-1.3440014123916626,-1.3440014123916626,-1.3440014123916626,-1.3447916507720947,-1.3440114259719849,-1.3440014123916626,-1.3440014123916626,-1.3440014123916626
nci_obs_000050,-0.5735691785812378,-0.5749502778053284,-0.5735092163085938,-0.5734992027282715,-0.5958650708198547,-0.5734992027282715,-0.5735092163085938,-0.5734992027282715,-0.5734992027282715,-0.5734992027282715,-0.5734992027282715,-0.5734992027282715,-0.5734992027282715,-0.5734992027282715,-0.5734992027282715,-0.5749200582504272,-0.5735791921615601,-0.5734992027282715,-0.5734992027282715,-0.5734992027282715
nci_obs_000051,-1.419054388999939,-1.429460883140564,-1.4189144372940063,-1.4180537462234497,-1.4719688892364502,-1.41775381565094,-1.41775381565094,-1.41775381565094,-1.41775381565094,-1.41775381565094,-1.41775381565094,-1.41775381565094,-1.41775381565094,-1.4177638292312622,-1.41775381565094,-1.4287590980529785,-1.4181538820266724,-1.4177638292312622,-1.41775381565094,-1.41775381565094
nci_obs_000052,-1.3370991945266724,-1.3458598852157593,-1.3372691869735718,-1.337049126625061,-1.4643257856369019,-1.3370091915130615,-1.3370091915130615,-1.3370091915130615,-1.3370091915130615,-1.3370091915130615,-1.3370091915130615,-1.3370091915130615,-1.3370091915130615,-1.3370091915130615,-1.3370091915130615,-1.348393201828003,-1.337339162826538,-1.337049126625061,-1.3370091915130615,-1.3370091915130615
nci_obs_000053,-2.1952972412109375,-2.2092862129211426,-2.195957660675049,-2.1949970722198486,-2.405325412750244,-2.1949870586395264,-2.1949870586395264,-2.1949870586395264,-2.1949870586395264,-2.1949870586395264,-2.1949870586395264,-2.1949870586395264,-2.1949870586395264,-2.1949870586395264,-2.1949870586395264,-2.225167989730835,-2.1959476470947266,-2.1949970722198486,-2.1949870586395264,-2.1949870586395264
nci_obs_000054,-4.20928430557251,-4.209304332733154,-4.20928430557251,-4.20928430557251,-4.209514141082764,-4.20928430557251,-4.20928430557251,-4.20928430557251,-4.20928430557251,-4.20928430557251,-4.20928430557251,-4.20928430557251,-4.20928430557251,-4.20928430557251,-4.20928430557251,-4.209344387054443,-4.20928430557251,-4.20928430557251,-4.20928430557251,-4.20928430557251
nci_obs_000055,-1.1877785921096802,-1.1938371658325195,-1.1878786087036133,-1.1877386569976807,-1.515617847442627,-1.1877386569976807,-1.1877386569976807,-1.1877386569976807,-1.1877386569976807,-1.1877386569976807,-1.1877386569976807,-1.1877386569976807,-1.1877386569976807,-1.1877386569976807,-1.1877386569976807,-1.2105978727340698,-1.1887891292572021,-1.1877586841583252,-1.1877386569976807,-1.1877386569976807
nci_obs_000056,2.1788642406463623,1.8995336294174194,1.9005740880966187,2.0686557292938232,2.0403900146484375,2.0686557292938232,2.2433626651763916,2.2459659576416016,2.2459659576416016,2.2459659576416016,2.2459659576416016,2.2270379066467285,2.2444849014282227,2.234055280685425,2.2459659576416016,2.065601110458374,2.0685858726501465,2.0686557292938232,2.2431418895721436,2.2459659576416016
nci_obs_000057,-0.7911480069160461,-0.7932503819465637,-0.7910879850387573,-0.7818242907524109,-0.8097677826881409,-0.7818042635917664,-0.7818042635917664,-0.7818042635917664,-0.7818042635917664,-0.7818042635917664,-0.7818042635917664,-0.7818042635917664,-0.7818042635917664,-0.7818542718887329,-0.7818042635917664,-0.7859199047088623,-0.781914234161377,-0.7818042635917664,-0.7818042635917664,-0.7818042635917664
nci_obs_000058,-1.1584073305130005,-2.0519728660583496,-1.419718623161316,-2.1179308891296387,-2.1180808544158936,-1.2572304010391235,-1.109358787536621,-1.108208179473877,-1.108208179473877,-1.108208179473877,-1.108208179473877,-1.1232709884643555,-1.1094489097595215,-1.1609550714492798,-1.108208179473877,-2.119121551513672,-1.8744852542877197,-1.381132960319519,-1.1082581281661987,-1.108208179473877
nci_obs_000059,-1.195870280265808,-1.196020245552063,-1.1958602666854858,-1.1586668491363525,-1.1586668491363525,-1.1586668491363525,-1.1586668491363525,-1.1586668491363525,-1.1586668491363525,-1.1586668491363525,-1.1586668491363525,-1.1586668491363525,-1.1586668491363525,-1.1586668491363525,-1.1586668491363525,-1.1590969562530518,-1.1586668491363525,-1.1586668491363525,-1.1586668491363525,-1.1586668491363525
