endpoint_id,score_mono_q_full_pn__pr__regime_1225,score_mono_q_full_pn__pr__regime_1400,score_mono_q_full_pn__pr__regime_1401,score_mono_q_full_pn__pr__regime_1575,score_mono_q_full_pn__pr__regime_1750,score_mono_q_full_pn__pr__regime_1925,score_mono_q_full_pn__pr__regime_1930,score_mono_q_full_pn__pr__regime_1951,score_mono_q_full_pn__pr__regime_2100,score_mono_q_full_pn__pr__regime_2101,score_mono_q_full_pn__pr__regime_2102,score_mono_q_full_pn__pr__regime_2128,score_mono_q_full_pn__pr__regime_2275,score_mono_q_full_pn__pr__regime_2450,score_mono_q_full_pn__pr__regime_2451,score_mono_q_full_pn__pr__regime_2455,score_mono_q_full_pn__pr__regime_2625,score_mono_q_full_pn__pr__regime_2630,score_mono_q_full_pn__pr__regime_2676,score_mono_q_full_pn__pr__regime_2677
nci_obs_000038,-0.17622102797031403,-0.5137274861335754,-0.2703854739665985,-0.1469566822052002,-0.1488584578037262,-0.19671668112277985,-0.22702233493328094,-0.14726673066616058,-0.5012480020523071,-0.2882571518421173,-0.20251546800136566,-0.14694666862487793,-0.14697664976119995,-0.15033197402954102,-0.14696669578552246,-0.15244172513484955,-0.2107536941766739,-0.2523437738418579,-0.14829742908477783,-0.14694666862487793
nci_obs_000039,-0.18990293145179749,-0.4704107642173767,-0.2749994397163391,-0.16333147883415222,-0.16621598601341248,-0.1941552311182022,-0.2144789695739746,-0.16328153014183044,-0.45488208532333374,-0.29274648427963257,-0.220172718167305,-0.1628013551235199,-0.1628013551235199,-0.16650810837745667,-0.16262133419513702,-0.16875110566616058,-0.18891486525535583,-0.20673610270023346,-0.16279134154319763,-0.16261130571365356
nci_obs_000040,-0.14665591716766357,-0.3854805827140808,-0.21778437495231628,-0.1454652100801468,-0.14551521837711334,-0.1496238112449646,-0.16763503849506378,-0.1454652100801468,-0.3953578472137451,-0.25607040524482727,-0.17770977318286896,-0.1454652100801468,-0.1454652100801468,-0.14562520384788513,-0.1454652100801468,-0.14571520686149597,-0.1525690108537674,-0.15574872493743896,-0.1454652100801468,-0.1454652100801468
nci_obs_000041,-2.5778775215148926,-1.926256775856018,-1.9250460863113403,-1.9250260591506958,-1.9250260591506958,-1.9250260591506958,-4.176179885864258,-1.9250260591506958,-1.3417620658874512,-1.3373316526412964,-1.337201714515686,-1.337201714515686,-1.337201714515686,-1.337201714515686,-1.337201714515686,-2.9294545650482178,-1.337201714515686,-2.9294545650482178,-1.337201714515686,-1.337201714515686
nci_obs_000042,-0.6130195260047913,-0.38106244802474976,-0.33034366369247437,-0.32681742310523987,-0.32681742310523987,-0.3268873989582062,-0.6897825002670288,-0.32681742310523987,-0.38341158628463745,-0.26205170154571533,-0.2308470755815506,-0.22717034816741943,-0.22717034816741943,-0.22717034816741943,-0.22717034816741943,-0.2791443169116974,-0.2273903787136078,-0.27936434745788574,-0.22717034816741943,-0.22717034816741943
nci_obs_000043,-0.4399043023586273,-0.7363365292549133,-0.5091730356216431,-0.4395442306995392,-0.43955424427986145,-0.4411254823207855,-0.47831693291664124,-0.4395442306995392,-0.8064587712287903,-0.5519974231719971,-0.48862946033477783,-0.4395442306995392,-0.4395442306995392,-0.43958422541618347,-0.4395442306995392,-0.4408148229122162,-0.4454818069934845,-0.46262797713279724,-0.4395442306995392,-0.4395442306995392
nci_obs_000044,-0.19389334321022034,-1.827587604522705,-1.0011200904846191,-0.18023040890693665,-0.18166182935237885,-0.20045864582061768,-0.20093877613544464,-0.1806005984544754,-1.497728705406189,-1.4927455186843872,-1.4925755262374878,-0.2143869549036026,-0.18026046454906464,-0.18292483687400818,-0.1800103783607483,-0.18292483687400818,-0.22603672742843628,-0.22603672742843628,-0.1822330355644226,-0.1800404191017151
nci_obs_000045,-1.0390864610671997,-0.6407198905944824,-0.6077190637588501,-0.6045640707015991,-0.6045640707015991,-0.6045940518379211,-1.342128038406372,-0.6045640707015991,-0.4887252748012543,-0.3781413435935974,-0.35786306858062744,-0.354667991399765,-0.354667991399765,-0.354667991399765,-0.354667991399765,-0.6602263450622559,-0.3547879755496979,-0.6603463292121887,-0.354667991399765,-0.354667991399765
nci_obs_000046,-0.4918399751186371,-0.7820055484771729,-0.5960916876792908,-0.40685075521469116,-0.4191044867038727,-0.4981182813644409,-0.5601260662078857,-0.4373723864555359,-0.860653817653656,-0.5701901912689209,-0.4795631170272827,-0.40746092796325684,-0.40695080161094666,-0.4203273355960846,-0.4077211320400238,-0.428598016500473,-0.49016135931015015,-0.5456584692001343,-0.43889540433883667,-0.41171732544898987
nci_obs_000047,-1.7753264904022217,-1.2422432899475098,-1.2296353578567505,-1.2289350032806396,-1.2289350032806396,-1.228945016860962,-2.2636306285858154,-1.2289350032806396,-0.9137257933616638,-0.866992175579071,-0.8617762327194214,-0.8613160848617554,-0.8613160848617554,-0.8613160848617554,-0.8613160848617554,-1.345515489578247,-0.8613660931587219,-1.3455654382705688,-0.8613160848617554,-0.8613160848617554
nci_obs_000048,-0.7679359912872314,-0.4760173261165619,-0.41693490743637085,-0.4149235486984253,-0.41554662585258484,-0.4158884584903717,-1.0020681619644165,-0.4103027284145355,-0.4384745955467224,-0.2882114052772522,-0.2542671859264374,-0.24872185289859772,-0.25353342294692993,-0.25406613945961,-0.24874188005924225,-0.44772985577583313,-0.2546795904636383,-0.44834330677986145,-0.24875183403491974,-0.24872185289859772
nci_obs_000049,-0.4376077651977539,-0.6307576298713684,-0.4628095328807831,-0.34676435589790344,-0.3467743694782257,-0.3471244275569916,-0.4052291810512543,-0.34676435589790344,-0.6587340235710144,-0.49993282556533813,-0.39929524064064026,-0.33546367287635803,-0.33515363931655884,-0.33517366647720337,-0.33515363931655884,-0.337958425283432,-0.3366647958755493,-0.33944955468177795,-0.33515363931655884,-0.33515363931655884
