endpoint_id,score_old_monoallelic__pr__regime_1050,score_old_monoallelic__pr__regime_1225,score_old_monoallelic__pr__regime_1230,score_old_monoallelic__pr__regime_1575,score_old_monoallelic__pr__regime_1750,score_old_monoallelic__pr__regime_1755,score_old_monoallelic__pr__regime_1925,score_old_monoallelic__pr__regime_1926,score_old_monoallelic__pr__regime_1930,score_old_monoallelic__pr__regime_2275,score_old_monoallelic__pr__regime_2280,score_old_monoallelic__pr__regime_2450,score_old_monoallelic__pr__regime_2455,score_old_monoallelic__pr__regime_2460,score_old_monoallelic__pr__regime_2625,score_old_monoallelic__pr__regime_2626,score_old_monoallelic__pr__regime_2630,score_old_monoallelic__pr__regime_2631,score_old_monoallelic__pr__regime_2635,score_old_monoallelic__pr__regime_525
nci_obs_000044,-0.18763278424739838,-0.22624211013317108,-0.2559768259525299,-0.1802104413509369,-0.18434005975723267,-0.19092470407485962,-0.21695713698863983,-0.1821327954530716,-0.23152273893356323,-0.1803704798221588,-0.18072065711021423,-0.1837843358516693,-0.18850265443325043,-0.19289463758468628,-0.20045286417007446,-0.18219175934791565,-0.22405175864696503,-0.18542277812957764,-0.24558906257152557,-0.2410411387681961
nci_obs_000045,-0.3439217507839203,-0.3440917730331421,-0.6395246982574463,-0.2552955746650696,-0.25530558824539185,-0.3013896346092224,-0.2559857964515686,-0.2552955746650696,-0.30206984281539917,-0.2469300627708435,-0.24788060784339905,-0.24695008993148804,-0.24790063500404358,-0.2532704770565033,-0.24932171404361725,-0.24696004390716553,-0.2504439055919647,-0.24791058897972107,-0.2558137774467468,-0.6244776844978333
nci_obs_000046,-0.4111812114715576,-0.5030345320701599,-0.5250756144523621,-0.40672072768211365,-0.4185721278190613,-0.4227709472179413,-0.5952704548835754,-0.4290713369846344,-0.5994692444801331,-0.4068707823753357,-0.40712079405784607,-0.43443456292152405,-0.4346845746040344,-0.4379306435585022,-0.7283912897109985,-0.4590842127799988,-0.7286412715911865,-0.45933422446250916,-0.7318873405456543,-0.4487736225128174
nci_obs_000047,-1.2340614795684814,-1.2340714931488037,-2.3024327754974365,-0.8529883027076721,-0.8529883027076721,-1.337602138519287,-0.8530182838439941,-0.8529883027076721,-1.3376320600509644,-0.6875830292701721,-0.7979784607887268,-0.6875830292701721,-0.7979784607887268,-1.0480985641479492,-0.6877130270004272,-0.6875830292701721,-0.7981084585189819,-0.7979784607887268,-1.0482286214828491,-1.806847333908081
nci_obs_000048,-0.9373385310173035,-0.9373984932899475,-2.282505989074707,-0.5038549900054932,-0.5038650035858154,-1.2156928777694702,-0.5040349960327148,-0.5038549900054932,-1.2158628702163696,-0.2722603678703308,-0.5111762881278992,-0.2722703814506531,-0.5111863017082214,-0.9964064955711365,-0.27272042632102966,-0.27225035429000854,-0.5116363167762756,-0.5111662745475769,-0.9968565702438354,-1.5213292837142944
nci_obs_000049,-0.33494359254837036,-0.3351435959339142,-0.3365246653556824,-0.33484357595443726,-0.33484357595443726,-0.3348535895347595,-0.3352036476135254,-0.33484357595443726,-0.33535370230674744,-0.33484357595443726,-0.33484357595443726,-0.3348535895347595,-0.3348535895347595,-0.3348535895347595,-0.3356337249279022,-0.3348535895347595,-0.33597421646118164,-0.3348535895347595,-0.33597421646118164,-0.360262930393219
nci_obs_000050,-0.17189525067806244,-0.17332646250724792,-0.1738765835762024,-0.17178528010845184,-0.17185525596141815,-0.17191527783870697,-0.17323632538318634,-0.1717952936887741,-0.17342635989189148,-0.1717952936887741,-0.1717952936887741,-0.17193524539470673,-0.1719353049993515,-0.17194531857967377,-0.17320610582828522,-0.17186526954174042,-0.17576968669891357,-0.17186526954174042,-0.1761246770620346,-0.17497824132442474
nci_obs_000051,-0.20266321301460266,-0.20643064379692078,-0.3138315975666046,-0.18577495217323303,-0.18601500988006592,-0.1959143429994583,-0.19642144441604614,-0.18587498366832733,-0.20632077753543854,-0.18471437692642212,-0.18484437465667725,-0.1853044480085373,-0.18553459644317627,-0.18647514283657074,-0.1957196593284607,-0.18511442840099335,-0.20241914689540863,-0.18533450365066528,-0.21121524274349213,-0.2773793339729309
nci_obs_000052,-0.3167053759098053,-0.3194892406463623,-0.3247676193714142,-0.31668534874916077,-0.3167753517627716,-0.3168353736400604,-0.3255360424518585,-0.3169453740119934,-0.32808631658554077,-0.31668534874916077,-0.31668534874916077,-0.3168153464794159,-0.3170053958892822,-0.3170053958892822,-0.32806941866874695,-0.3170153498649597,-0.32896989583969116,-0.31791582703590393,-0.33643463253974915,-0.3177058696746826
nci_obs_000053,-0.42365819215774536,-0.4326491951942444,-0.4391894042491913,-0.4235782027244568,-0.423888236284256,-0.423888236284256,-0.43787720799446106,-0.4245486557483673,-0.45659738779067993,-0.4235782027244568,-0.4235782027244568,-0.42390820384025574,-0.4246788024902344,-0.4252690076828003,-0.453759104013443,-0.42453864216804504,-0.4637589156627655,-0.4293649196624756,-0.5234142541885376,-0.42706426978111267
nci_obs_000054,-2.2835543155670166,-2.2835543155670166,-3.177910566329956,-2.123936891555786,-2.123936891555786,-2.4130332469940186,-2.1239569187164307,-2.123936891555786,-2.413053274154663,-2.123936891555786,-2.1397106647491455,-2.123936891555786,-2.1397106647491455,-2.336993932723999,-2.1239969730377197,-2.123936891555786,-2.139810562133789,-2.1397106647491455,-2.3370940685272217,-2.7382729053497314
nci_obs_000055,-0.43884506821632385,-0.4434357285499573,-0.4434357285499573,-0.43881508708000183,-0.4388550817966461,-0.43894508481025696,-0.4449135959148407,-0.4389550983905792,-0.4519684314727783,-0.43881508708000183,-0.43881508708000183,-0.4389550983905792,-0.4389550983905792,-0.4392952024936676,-0.46167436242103577,-0.4398656189441681,-0.46167436242103577,-0.4398656189441681,-0.46408727765083313,-0.43972548842430115
nci_obs_000056,2.424373149871826,1.8711659908294678,1.8711659908294678,2.451749324798584,2.3859384059906006,2.3859384059906006,2.106607675552368,2.1076483726501465,1.3715314865112305,2.45043683052063,2.45043683052063,2.303971529006958,2.303971529006958,2.303971529006958,2.2726752758026123,2.2756600379943848,1.823636770248413,1.826621413230896,1.1046026945114136,2.234548330307007
nci_obs_000057,-0.3473392128944397,-0.34816959500312805,-0.6457462310791016,-0.2597885727882385,-0.25987857580184937,-0.30976602435112,-0.26198098063468933,-0.25981855392456055,-0.31186842918395996,-0.2505348324775696,-0.2516956627368927,-0.25074484944343567,-0.2519056499004364,-0.2580120265483856,-0.2546505033969879,-0.2506448030471802,-0.256879061460495,-0.2518056333065033,-0.2629854083061218,-0.6046565175056458
nci_obs_000058,-0.30024275183677673,-0.718650221824646,-0.718650221824646,-0.28160062432289124,-0.3312896490097046,-0.3312896490097046,-1.2248551845550537,-0.59260094165802,-1.2248551845550537,-0.28224119544029236,-0.28224119544029236,-0.3992098867893219,-0.3992098867893219,-0.3992098867893219,-1.292003870010376,-1.0473676919937134,-2.1685242652893066,-1.0473676919937134,-2.1685242652893066,-0.45521774888038635
nci_obs_000059,-0.4098818004131317,-0.40994182229042053,-1.534317970275879,-0.36573266983032227,-0.36574268341064453,-0.8364259600639343,-0.3658926486968994,-0.36573266983032227,-0.836575984954834,-0.32853925228118896,-0.4309900104999542,-0.3285592794418335,-0.43101003766059875,-0.7265763878822327,-0.3289693295955658,-0.32853925228118896,-0.43142011761665344,-0.4309900104999542,-0.7269864678382874,-0.4386386275291443
nci_obs_000060,-0.3985912799835205,-0.39862126111984253,-1.2595243453979492,-0.23502162098884583,-0.23502162098884583,-0.7320049405097961,-0.2352016419172287,-0.23502162098884583,-0.7321849465370178,-0.1589517593383789,-0.40790244936943054,-0.1589517593383789,-0.40790244936943054,-1.0792251825332642,-0.15986216068267822,-0.1589517593383789,-0.40881285071372986,-0.40790244936943054,-1.0801355838775635,-0.6849112510681152
nci_obs_000061,-0.13619360327720642,-0.20105372369289398,-0.20105372369289398,-0.13554340600967407,-0.13795632123947144,-0.13795632123947144,-0.37252238392829895,-0.16018474102020264,-0.37252238392829895,-0.13555341958999634,-0.13555341958999634,-0.1438579261302948,-0.1438579261302948,-0.1438579261302948,-0.34780508279800415,-0.24544867873191833,-0.7096538543701172,-0.24544867873191833,-0.7096538543701172,-0.15055564045906067
