endpoint_id,score_focal_hla__roc__regime_2100,score_focal_hla__roc__regime_2101,score_focal_hla__roc__regime_2127,score_focal_hla__roc__regime_2153,score_focal_hla__roc__regime_2154,score_focal_hla__roc__regime_2275,score_focal_hla__roc__regime_2277,score_focal_hla__roc__regime_2278,score_focal_hla__roc__regime_2279,score_focal_hla__roc__regime_2326,score_focal_hla__roc__regime_2450,score_focal_hla__roc__regime_2452,score_focal_hla__roc__regime_2453,score_focal_hla__roc__regime_2454,score_focal_hla__roc__regime_2476,score_focal_hla__roc__regime_2625,score_focal_hla__roc__regime_2629,score_focal_hla__roc__regime_2653,score_focal_hla__roc__regime_2676,score_focal_hla__roc__regime_2677
nci_obs_000010,-8.233617782592773,-8.233588218688965,-8.233588218688965,-8.233588218688965,-8.233588218688965,-8.233588218688965,-8.233588218688965,-8.233588218688965,-8.233588218688965,-8.233588218688965,-8.233588218688965,-8.233588218688965,-8.233588218688965,-8.233588218688965,-8.233588218688965,-8.233588218688965,-8.233588218688965,-8.233588218688965,-8.233588218688965,-8.233588218688965
nci_obs_000011,-0.648701012134552,-0.4432714879512787,-0.3902024030685425,-0.37180304527282715,-0.37180304527282715,-0.3718130588531494,-0.37180304527282715,-0.37180304527282715,-0.37180304527282715,-0.37180304527282715,-0.3720630705356598,-0.37180304527282715,-0.37180304527282715,-0.37180304527282715,-0.37180304527282715,-0.3756602108478546,-0.37180304527282715,-0.37180304527282715,-0.37187302112579346,-0.37180304527282715
nci_obs_000012,-1.1012579202651978,-0.7766972184181213,-0.6358350515365601,-0.5905725955963135,-0.5905725955963135,-0.591823399066925,-0.5905725955963135,-0.5905725955963135,-0.5905725955963135,-0.5905725955963135,-0.6202929019927979,-0.5905725955963135,-0.5905725955963135,-0.5905725955963135,-0.5905725955963135,-0.7836815714836121,-0.5905725955963135,-0.5905725955963135,-0.6202929019927979,-0.5905725955963135
nci_obs_000013,-5.274435997009277,-5.274386405944824,-5.274386405944824,-5.274386405944824,-5.274386405944824,-5.274386405944824,-5.274386405944824,-5.274386405944824,-5.274386405944824,-5.274386405944824,-5.274386405944824,-5.274386405944824,-5.274386405944824,-5.274386405944824,-5.274386405944824,-5.274386405944824,-5.274386405944824,-5.274386405944824,-5.274386405944824,-5.274386405944824
nci_obs_000014,-1.5276844501495361,-1.5165361166000366,-1.5159759521484375,-1.038474440574646,-0.39656344056129456,-0.3956623077392578,-0.39482197165489197,-0.39482197165489197,-0.39482197165489197,-0.39482197165489197,-0.40962091088294983,-0.39482197165489197,-0.39482197165489197,-0.39482197165489197,-0.39483198523521423,-0.5559183955192566,-0.39482197165489197,-0.39482197165489197,-0.40144386887550354,-0.3950119912624359
nci_obs_000015,-2.1669960021972656,-1.86634361743927,-1.0792436599731445,-0.5230709910392761,-0.5219203233718872,-0.522010326385498,-0.5219203233718872,-0.5219203233718872,-0.5219203233718872,-0.5219203233718872,-0.5241127014160156,-0.5219203233718872,-0.5219203233718872,-0.5219203233718872,-0.5219203233718872,-0.5487777590751648,-0.5219203233718872,-0.5219203233718872,-0.5225304961204529,-0.5219203233718872
nci_obs_000016,-3.521028518676758,-3.5207483768463135,-3.5207483768463135,-3.5207483768463135,-3.5207483768463135,-3.5207483768463135,-3.5207483768463135,-3.5207483768463135,-3.5207483768463135,-3.5207483768463135,-3.5207483768463135,-3.5207483768463135,-3.5207483768463135,-3.5207483768463135,-3.5207483768463135,-3.5207483768463135,-3.5207483768463135,-3.5207483768463135,-3.5207483768463135,-3.5207483768463135
nci_obs_000017,-1.5850739479064941,-1.0585134029388428,-0.8063546419143677,-0.6913573145866394,-0.6891949772834778,-0.6892049908638,-0.6891949772834778,-0.6891949772834778,-0.6891949772834778,-0.6891949772834778,-0.6896151304244995,-0.6891949772834778,-0.6891949772834778,-0.6891949772834778,-0.6891949772834778,-0.6979342699050903,-0.6891949772834778,-0.6891949772834778,-0.6893150210380554,-0.6891949772834778
nci_obs_000018,-1.2796399593353271,-1.000566005706787,-0.9121531844139099,-0.8668703436851501,-0.8668103218078613,-0.8668802976608276,-0.8668103218078613,-0.8668103218078613,-0.8668103218078613,-0.8668103218078613,-0.868821382522583,-0.8668103218078613,-0.8668103218078613,-0.8668103218078613,-0.8668103218078613,-0.8812438249588013,-0.8668103218078613,-0.8668103218078613,-0.8669503927230835,-0.8668103218078613
nci_obs_000019,0.8863819241523743,0.8919081687927246,0.8920881748199463,2.3441877365112305,2.3750696182250977,2.3750696182250977,2.3750696182250977,2.3750696182250977,2.3750696182250977,2.3750696182250977,2.374859571456909,2.3750696182250977,2.3750696182250977,2.3750696182250977,2.3750696182250977,2.3423397541046143,2.3750696182250977,2.3750696182250977,2.3750295639038086,2.3750696182250977
