ranked_position,selected_rank,disposition,representative_system_id,regime_idx,param_idx,mn_idx,geometry_idx,d_pos,d_neg,steepness_pos,steepness_neg,M,N,roc_auc,pr_auc
114,,after_candidate_limit,,1875,75,0,75,13.89,6.25,2.17,3.25,1,1,0.953733014354067,0.5253189916696258
115,,after_candidate_limit,,1980,79,5,79,13.89,8.33,0.5,2,2,1,0.9478784688995215,0.5252320756562391
116,,after_candidate_limit,,2280,91,5,91,15,4.5,0.5,0.75,2,1,0.9536746411483253,0.5249217241411293
117,,after_candidate_limit,,2251,90,1,90,15,13.5,3,4.5,1,2,0.9527196172248804,0.5248465141891905
118,,after_candidate_limit,,2202,88,2,88,15,13.5,1.33,3.67,1,3,0.954912918660287,0.5248132570418239
119,,after_candidate_limit,,2656,106,6,106,15,9,0.5,1.38,2,2,0.9540162679425838,0.5245486477506391
120,,after_candidate_limit,,2576,103,1,103,15,6.75,2.17,3.25,1,2,0.9585851674641148,0.5242886157301321
121,,after_candidate_limit,,2551,102,1,102,15,6.75,1.33,3.67,1,2,0.9590966507177033,0.5242158789963487
122,,after_candidate_limit,,1900,76,0,76,13.89,6.25,3,4.5,1,1,0.9534320574162679,0.524193439650522
123,,after_candidate_limit,,1850,74,0,74,13.89,6.25,1.33,3.67,1,1,0.9548114832535886,0.5241287270517933
124,,after_candidate_limit,,2601,104,1,104,15,6.75,3,4.5,1,2,0.9582842105263157,0.523780402282021
125,,after_candidate_limit,,1600,64,0,64,13.89,4.17,0.5,1.38,1,1,0.9588105263157894,0.523650267007333
126,,after_candidate_limit,,2460,98,10,98,15,6.75,0.5,0.75,3,1,0.941444019138756,0.5228504283475988
127,,after_candidate_limit,,2227,89,2,89,15,13.5,2.17,3.25,1,3,0.9544928229665072,0.5224957842280933
128,,after_candidate_limit,,2631,105,6,105,15,9,0.5,0.75,2,2,0.9539397129186603,0.5224743465454458
129,,after_candidate_limit,,1625,65,0,65,13.89,4.17,0.5,2,1,1,0.9587674641148325,0.5221251245130559
130,,after_candidate_limit,,2660,106,10,106,15,9,0.5,1.38,3,1,0.9418966507177033,0.5220077558071166
131,,after_candidate_limit,,1452,58,2,58,13.89,12.5,0.5,2,1,3,0.9583177033492823,0.5218002652442093
132,,after_candidate_limit,,2685,107,10,107,15,9,0.5,2,3,1,0.9418794258373205,0.5216507723603261
133,,after_candidate_limit,,2277,91,2,91,15,4.5,0.5,0.75,1,3,0.9607277511961723,0.5214817775715165
134,,after_candidate_limit,,2327,93,2,93,15,4.5,0.5,2,1,3,0.9606952153110048,0.5214049901096873
135,,after_candidate_limit,,2302,92,2,92,15,4.5,0.5,1.38,1,3,0.9607066985645933,0.5213436796175167
136,,after_candidate_limit,,2178,87,3,87,15,13.5,1.33,2,1,8,0.9589105263157894,0.5211532033295141
137,,after_candidate_limit,,2204,88,4,88,15,13.5,1.33,3.67,1,15,0.9588684210526316,0.5208729794372101
138,,after_candidate_limit,,2254,90,4,90,15,13.5,3,4.5,1,15,0.958044019138756,0.5208512531719979
139,,after_candidate_limit,,2076,83,1,83,13.89,8.33,3,4.5,1,2,0.9530712918660287,0.5205085303868547
140,,after_candidate_limit,,2252,90,2,90,15,13.5,3,4.5,1,3,0.9540306220095693,0.5204811196033179
141,,after_candidate_limit,,2051,82,1,82,13.89,8.33,2.17,3.25,1,2,0.9533555023923445,0.5203546465139379
142,,after_candidate_limit,,2510,100,10,100,15,6.75,0.5,2,3,1,0.9413808612440191,0.5202854608783081
143,,after_candidate_limit,,2229,89,4,89,15,13.5,2.17,3.25,1,15,0.9583267942583732,0.5201693814767553
144,,after_candidate_limit,,2376,95,1,95,15,4.5,1.33,3.67,1,2,0.9586861244019139,0.5199304685332902
145,,after_candidate_limit,,2426,97,1,97,15,4.5,3,4.5,1,2,0.9578818181818182,0.5197210216503643
146,,after_candidate_limit,,2401,96,1,96,15,4.5,2.17,3.25,1,2,0.9581684210526316,0.5196757880458442
147,,after_candidate_limit,,2203,88,3,88,15,13.5,1.33,3.67,1,8,0.958633014354067,0.5196543131287367
148,,after_candidate_limit,,2351,94,1,94,15,4.5,1.33,2,1,2,0.9586526315789474,0.5196456011835673
149,,after_candidate_limit,,2527,101,2,101,15,6.75,1.33,2,1,3,0.9586267942583732,0.5195031772123971
150,,after_candidate_limit,,2485,99,10,99,15,6.75,0.5,1.38,3,1,0.941400956937799,0.5194771230953515
151,,after_candidate_limit,,2026,81,1,81,13.89,8.33,1.33,3.67,1,2,0.9543837320574162,0.5192802101736457
152,,after_candidate_limit,,2001,80,1,80,13.89,8.33,1.33,2,1,2,0.9543411483253589,0.5192557030861896
153,,after_candidate_limit,,2253,90,3,90,15,13.5,3,4.5,1,8,0.9577416267942583,0.519169194341518
154,,after_candidate_limit,,2228,89,3,89,15,13.5,2.17,3.25,1,8,0.958154066985646,0.5191394851488936
155,,after_candidate_limit,,1427,57,2,57,13.89,12.5,0.5,1.38,1,3,0.9583894736842106,0.5191328335085874
156,,after_candidate_limit,,2179,87,4,87,15,13.5,1.33,2,1,15,0.9588153110047847,0.5190406937465705
157,,after_candidate_limit,,2552,102,2,102,15,6.75,1.33,3.67,1,3,0.9586344497607655,0.5189473870185841
158,,after_candidate_limit,,2577,103,2,103,15,6.75,2.17,3.25,1,3,0.9581081339712919,0.5186786330642442
159,,after_candidate_limit,,2602,104,2,104,15,6.75,3,4.5,1,3,0.9578047846889952,0.5183397139694019
160,,after_candidate_limit,,1300,52,0,52,12.78,7.67,1.33,2,1,1,0.9490124401913875,0.5181546487020222
161,,after_candidate_limit,,1075,43,0,43,12.78,5.75,0.5,1.38,1,1,0.9555808612440191,0.5179317822052922
162,,after_candidate_limit,,1755,70,5,70,13.89,6.25,0.5,0.75,2,1,0.9469435406698564,0.5178275235003491
163,,after_candidate_limit,,1402,56,2,56,13.89,12.5,0.5,0.75,1,3,0.9583473684210526,0.5177209965113232
164,,after_candidate_limit,,1325,53,0,53,12.78,7.67,1.33,3.67,1,1,0.9490717703349282,0.517647955225256
165,,after_candidate_limit,,2305,92,5,92,15,4.5,0.5,1.38,2,1,0.9534181818181818,0.5175534275646576
166,,after_candidate_limit,,1375,55,0,55,12.78,7.67,3,4.5,1,1,0.945799043062201,0.5168088897093808
167,,after_candidate_limit,,725,29,0,29,12.78,11.5,0.5,1.38,1,1,0.9562698564593302,0.5167193496116329
168,,after_candidate_limit,,1350,54,0,54,12.78,7.67,2.17,3.25,1,1,0.9466478468899522,0.5166876726524047
169,,after_candidate_limit,,2330,93,5,93,15,4.5,0.5,2,2,1,0.9533358851674641,0.5162631067908446
170,,after_candidate_limit,,1100,44,0,44,12.78,5.75,0.5,2,1,1,0.955577990430622,0.5152261865410772
171,,after_candidate_limit,,525,21,0,21,11.67,7,0.5,0.75,1,1,0.9519368421052632,0.5151638482917701
172,,after_candidate_limit,,1927,77,2,77,13.89,8.33,0.5,0.75,1,3,0.958267942583732,0.5148904701302279
173,,after_candidate_limit,,2682,107,7,107,15,9,0.5,2,2,3,0.9530899521531101,0.5147894946410023
174,,after_candidate_limit,,1751,70,1,70,13.89,6.25,0.5,0.75,1,2,0.9584129186602871,0.514650680475795
175,,after_candidate_limit,,1977,79,2,79,13.89,8.33,0.5,2,1,3,0.9582358851674642,0.514288548987245
176,,after_candidate_limit,,2377,95,2,95,15,4.5,1.33,3.67,1,3,0.9583081339712919,0.5142838463614892
177,,after_candidate_limit,,2781,111,6,111,15,9,3,4.5,2,2,0.9445210526315789,0.5140268123068285
178,,after_candidate_limit,,2657,106,7,106,15,9,0.5,1.38,2,3,0.953022966507177,0.5139524107648477
179,,after_candidate_limit,,2402,96,2,96,15,4.5,2.17,3.25,1,3,0.9577799043062201,0.5139496811878383
180,,after_candidate_limit,,2278,91,3,91,15,4.5,0.5,0.75,1,8,0.9605411483253589,0.513875719656137
181,,after_candidate_limit,,2279,91,4,91,15,4.5,0.5,0.75,1,15,0.9605411483253589,0.513875719656137
182,,after_candidate_limit,,2303,92,3,92,15,4.5,0.5,1.38,1,8,0.9605411483253589,0.513875719656137
183,,after_candidate_limit,,2304,92,4,92,15,4.5,0.5,1.38,1,15,0.9605411483253589,0.513875719656137
184,,after_candidate_limit,,2328,93,3,93,15,4.5,0.5,2,1,8,0.9605411483253589,0.513875719656137
185,,after_candidate_limit,,2329,93,4,93,15,4.5,0.5,2,1,15,0.9605411483253589,0.513875719656137
186,,after_candidate_limit,,2453,98,3,98,15,6.75,0.5,0.75,1,8,0.9605411483253589,0.513875719656137
187,,after_candidate_limit,,2454,98,4,98,15,6.75,0.5,0.75,1,15,0.9605411483253589,0.513875719656137
188,,after_candidate_limit,,2478,99,3,99,15,6.75,0.5,1.38,1,8,0.9605411483253589,0.513875719656137
189,,after_candidate_limit,,2479,99,4,99,15,6.75,0.5,1.38,1,15,0.9605411483253589,0.513875719656137
190,,after_candidate_limit,,2503,100,3,100,15,6.75,0.5,2,1,8,0.9605411483253589,0.513875719656137
191,,after_candidate_limit,,2504,100,4,100,15,6.75,0.5,2,1,15,0.9605411483253589,0.513875719656137
192,,after_candidate_limit,,2629,105,4,105,15,9,0.5,0.75,1,15,0.9605411483253589,0.513875719656137
193,,after_candidate_limit,,2654,106,4,106,15,9,0.5,1.38,1,15,0.9605411483253589,0.513875719656137
194,,after_candidate_limit,,2679,107,4,107,15,9,0.5,2,1,15,0.9605411483253589,0.513875719656137
195,,after_candidate_limit,,2427,97,2,97,15,4.5,3,4.5,1,3,0.9574736842105264,0.5138614541100441
196,,after_candidate_limit,,2352,94,2,94,15,4.5,1.33,2,1,3,0.9582909090909091,0.5138286570163573
197,,after_candidate_limit,,1776,71,1,71,13.89,6.25,0.5,1.38,1,2,0.9583856459330143,0.5136865879877082
198,,after_candidate_limit,,1952,78,2,78,13.89,8.33,0.5,1.38,1,3,0.9582076555023924,0.5136257895723728
199,,after_candidate_limit,,1403,56,3,56,13.89,12.5,0.5,0.75,1,8,0.9584263157894737,0.5136215453797298
